,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
136,short,ALPHAUSDT,30:9:30:6,0.09790000,31:9:31:6,0.09790000,False
137,short,MEMEUSDT,30:9:30:10,0.02354400,31:9:31:10,0.02354800,False
138,long,ARKUSDT,30:9:30:20,0.97970000,31:9:31:20,0.97470000,False
139,short,GTCUSDT,30:9:30:27,1.16300000,31:9:31:27,1.16100000,True
140,long,SUSHIUSDT,30:9:30:34,1.12200000,31:9:31:34,1.12000000,False
141,short,CHZUSDT,30:9:30:45,0.10401000,31:9:31:45,0.10393000,True
142,long,NKNUSDT,30:9:30:57,0.10840000,31:9:31:57,0.10820000,False
143,short,OXTUSDT,30:9:31:3,0.09600000,30:9:32:3,0.09610000,False
144,short,IOSTUSDT,30:9:31:4,0.00869000,30:9:32:4,0.00868000,True
145,short,AGIXUSDT,30:9:31:4,0.27380000,30:9:32:4,0.27376000,True
146,short,LRCUSDT,30:9:31:6,0.24040000,30:9:32:6,0.24050000,False
147,short,1000SATSUSDT,30:9:31:17,0.00050680,30:9:32:17,0.00050690,False
148,short,STXUSDT,30:9:31:21,1.56620000,30:9:32:21,1.57010000,False
149,short,ARUSDT,30:9:31:24,8.84100000,30:9:32:24,8.84300000,False
150,short,RSRUSDT,30:9:31:50,0.00232800,30:9:32:50,0.00232900,False
151,short,BTCUSDT,30:9:31:53,43366.30000000,30:9:32:53,43370.00000000,False
152,short,ZILUSDT,30:9:31:57,0.02067000,30:9:32:57,0.02068000,False
153,short,AGLDUSDT,30:9:31:58,1.13900000,30:9:32:58,1.13800000,True
154,short,KSMUSDT,30:9:32:0,39.29000000,30:9:33:0,39.29000000,False
155,long,RNDRUSDT,30:9:32:6,4.34500000,30:9:33:6,4.34600000,True
156,short,ZENUSDT,30:9:32:21,8.04000000,30:9:33:21,8.03000000,True
157,short,WAVESUSDT,30:9:32:49,2.23300000,30:9:33:49,2.23400000,False
158,short,STMXUSDT,30:9:32:51,0.00705800,30:9:33:51,0.00705800,False
159,short,QTUMUSDT,30:9:32:53,2.93200000,30:9:33:53,2.93200000,False
160,short,VETUSDT,30:9:33:5,0.02885000,30:9:34:5,0.02886000,False
161,short,LQTYUSDT,30:9:33:9,1.28600000,30:9:34:9,1.28600000,False
162,short,OPUSDT,30:9:33:11,3.12100000,30:9:34:11,3.12300000,False
163,short,ANKRUSDT,30:9:33:12,0.02456000,30:9:34:12,0.02456000,False
164,long,RUNEUSDT,30:9:34:6,4.56100000,30:9:35:6,4.56000000,False
165,short,MBLUSDT,30:9:34:10,0.00421600,30:9:35:10,0.00421800,False
166,short,BALUSDT,30:9:34:13,3.68800000,30:9:35:13,3.68800000,False
167,short,HIGHUSDT,30:9:34:18,1.52500000,30:9:35:18,1.52500000,False
168,short,KNCUSDT,30:9:34:19,0.60770000,30:9:35:19,0.60770000,False
169,short,STRAXUSDT,30:9:34:30,0.90700000,30:9:35:30,0.90700000,False
170,short,COMPUSDT,30:9:34:35,55.18000000,30:9:35:35,55.14000000,True
171,short,ETHUSDC,30:9:34:53,2307.43000000,30:9:35:53,2307.43000000,False
172,short,ARKMUSDT,30:9:34:55,0.54000000,30:9:35:55,0.54010000,False
173,short,DGBUSDT,30:9:34:57,0.00779000,30:9:35:57,0.00779000,False
174,short,XRPUSDC,30:9:35:12,0.53480000,30:9:36:12,0.53480000,False
175,short,SOLUSDC,30:9:35:31,101.76000000,30:9:36:31,101.76000000,False
176,short,IOTAUSDT,30:9:35:33,0.25250000,30:9:36:33,0.25230000,True
177,short,BICOUSDT,30:9:35:41,0.35090000,30:9:36:41,0.35140000,False
178,long,SSVUSDT,30:9:35:56,31.57000000,30:9:36:56,31.57000000,False
179,short,ONGUSDT,30:9:36:23,0.31520000,30:9:37:23,0.31520000,False
180,short,BNXUSDT,30:9:36:30,0.28840000,30:9:37:30,0.28820000,True
181,short,SPELLUSDT,30:9:36:42,0.00052530,30:9:37:42,0.00052550,False
182,short,POWRUSDT,30:9:36:45,0.31820000,30:9:37:45,0.31850000,False
183,short,NKNUSDT,30:9:36:55,0.10820000,30:9:37:55,0.10820000,False
184,short,BEAMXUSDT,30:9:36:57,0.01875300,30:9:37:57,0.01876400,False
185,short,BELUSDT,30:9:36:58,0.60780000,30:9:37:58,0.60780000,False
186,short,PERPUSDT,30:9:37:3,1.18631000,30:9:38:3,1.18631000,False
187,short,BONDUSDT,30:9:37:6,3.21400000,30:9:38:6,3.21200000,True
188,short,FILUSDT,30:9:37:13,5.27800000,30:9:38:13,5.27800000,False
189,short,LTCUSDT,30:9:37:14,68.08000000,30:9:38:14,68.12000000,False
190,short,WLDUSDT,30:9:37:25,2.37700000,30:9:38:25,2.37800000,False
191,short,DOGEUSDT,30:9:37:30,0.08129000,30:9:38:30,0.08127000,True
192,short,SXPUSDT,30:9:37:35,0.33100000,30:9:38:35,0.33100000,False
193,short,LOOMUSDT,30:9:37:44,0.08845000,30:9:38:44,0.08846000,False
194,short,ALGOUSDT,30:9:37:45,0.16720000,30:9:38:45,0.16710000,True
195,short,MASKUSDT,30:9:37:47,3.45200000,30:9:38:47,3.45400000,False
196,short,CTSIUSDT,30:9:37:49,0.24560000,30:9:38:49,0.24550000,True
197,short,BNBUSDC,30:9:37:55,310.90000000,30:9:38:55,310.90000000,False
198,long,YGGUSDT,30:9:38:4,0.46490000,30:9:39:4,0.46530000,True
199,short,LPTUSDT,30:9:38:6,7.31000000,30:9:39:6,7.31000000,False
200,short,MDTUSDT,30:9:38:17,0.05094000,30:9:39:17,0.05094000,False
201,long,JASMYUSDT,30:9:38:31,0.00518800,30:9:39:31,0.00518700,False
202,short,STPTUSDT,30:9:38:35,0.05270000,30:9:39:35,0.05273000,False
203,short,BADGERUSDT,30:9:38:50,3.34500000,30:9:39:50,3.34500000,False
204,short,FRONTUSDT,30:9:39:5,0.46950000,30:9:40:5,0.46950000,False
205,short,ANTUSDT,30:9:39:21,5.84000000,30:9:40:21,5.84500000,False
206,short,OMGUSDT,30:9:39:53,0.66400000,30:9:40:53,0.66500000,False
207,short,BNBUSDT,30:9:39:57,311.10000000,30:9:40:57,311.30000000,False
208,long,SUIUSDT,30:9:40:1,1.59760000,30:9:41:1,1.59730000,False
209,long,STRAXUSDT,30:9:40:37,0.90900000,30:9:41:37,0.90900000,False
210,short,ENJUSDT,30:9:40:54,0.29340000,30:9:41:54,0.29310000,True
211,short,UNFIUSDT,30:9:41:10,5.93700000,30:9:42:10,5.94400000,False
212,long,NFPUSDT,30:9:41:17,0.58669000,30:9:42:17,0.58661000,False
213,short,BANDUSDT,30:9:41:27,1.70100000,30:9:42:27,1.70200000,False
214,long,XVSUSDT,30:9:41:28,12.42000000,30:9:42:28,12.43000000,True
215,long,OCEANUSDT,30:9:41:40,0.43990000,30:9:42:40,0.43980000,False
216,short,MATICUSDT,30:9:42:12,0.80890000,30:9:43:12,0.80930000,False
217,short,CVXUSDT,30:9:42:13,2.89800000,30:9:43:13,2.89800000,False
218,short,RUNEUSDT,30:9:42:15,4.57000000,30:9:43:15,4.57100000,False
219,short,GLMRUSDT,30:9:42:49,0.38210000,30:9:43:49,0.38240000,False
220,long,MANTAUSDT,30:9:42:55,3.64406000,30:9:43:55,3.64493000,True
221,long,NEOUSDT,30:9:43:5,11.19000000,30:9:44:5,11.19000000,False
222,short,SLPUSDT,30:9:43:9,0.00299600,30:9:44:9,0.00299600,False
223,long,THETAUSDT,30:9:43:11,1.04300000,30:9:44:11,1.04200000,False
224,short,LEVERUSDT,30:9:43:38,0.00136700,30:9:44:38,0.00136700,False
225,long,LINKUSDT,30:9:44:5,15.04400000,30:9:45:5,15.03900000,False
226,long,XEMUSDT,30:9:44:31,0.03732000,30:9:45:31,0.03723000,False
227,long,FLMUSDT,30:9:44:33,0.07870000,30:9:45:33,0.07860000,False
228,long,AMBUSDT,30:9:44:39,0.00775000,30:9:45:39,0.00775000,False
229,long,SEIUSDT,30:9:44:41,0.70210000,30:9:45:41,0.70230000,True
230,long,AVAXUSDT,30:9:44:44,35.91000000,30:9:45:45,35.85000000,False
231,long,ALTUSDT,30:9:44:57,0.43649000,30:9:45:57,0.43706000,True
232,long,WAVESUSDT,30:9:45:8,2.24100000,30:9:46:8,2.23900000,False
233,long,USTCUSDT,30:9:45:11,0.02636437,30:9:46:11,0.02634152,False
234,long,UNFIUSDT,30:9:45:19,5.94000000,30:9:46:19,5.93900000,False
235,long,AGIXUSDT,30:9:45:21,0.27517000,30:9:46:21,0.27476000,False
236,long,BICOUSDT,30:9:45:58,0.35350000,30:9:46:58,0.35340000,False
237,short,MKRUSDT,30:9:46:46,1970.00000000,30:9:47:47,1969.00000000,True
238,short,ARPAUSDT,30:9:46:57,0.06349000,30:9:47:57,0.06348000,True
239,short,FTTUSDT,30:9:47:37,2.72630000,30:9:48:37,2.72630000,False
240,short,USDCUSDT,30:9:48:18,1.00010000,30:9:49:18,1.00010000,False
241,long,NMRUSDT,30:9:48:56,20.45000000,30:9:49:56,20.46000000,True
242,long,ENSUSDT,30:9:49:2,19.59000000,30:9:50:2,19.57000000,False
243,long,SOLUSDC,30:9:49:49,102.67000000,30:9:50:50,102.49000000,False
244,long,RIFUSDT,30:9:49:53,0.13520000,30:9:50:53,0.13510000,False
245,short,ORDIUSDT,30:9:49:56,61.72100000,30:9:50:56,61.64100000,True
246,long,ARBUSDT,30:9:50:38,1.88790000,30:9:51:38,1.89220000,True
247,long,APEUSDT,30:9:50:46,1.42000000,30:9:51:46,1.41900000,False
248,long,ATOMUSDT,30:9:50:52,9.63700000,30:9:51:52,9.63400000,False
249,long,SXPUSDT,30:9:51:52,0.33110000,30:9:52:52,0.33100000,False
250,long,ZILUSDT,30:9:52:13,0.02075000,30:9:53:13,0.02075000,False
