MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
long,SSVUSDT,30:9:35:56,,30:9:36:56,,
short,ONGUSDT,30:9:36:23,,30:9:37:23,,
short,BNXUSDT,30:9:36:30,,30:9:37:30,,
short,SPELLUSDT,30:9:36:42,,30:9:37:42,,
short,POWRUSDT,30:9:36:45,,30:9:37:45,,
short,NKNUSDT,30:9:36:55,,30:9:37:55,,
short,BEAMXUSDT,30:9:36:57,,30:9:37:57,,
short,BELUSDT,30:9:36:58,,30:9:37:58,,
short,PERPUSDT,30:9:37:3,,30:9:38:3,,
short,BONDUSDT,30:9:37:6,,30:9:38:6,,
short,FILUSDT,30:9:37:13,,30:9:38:13,,
short,LTCUSDT,30:9:37:14,,30:9:38:14,,
short,WLDUSDT,30:9:37:25,,30:9:38:25,,
short,DOGEUSDT,30:9:37:30,,30:9:38:30,,
short,SXPUSDT,30:9:37:35,,30:9:38:35,,
short,LOOMUSDT,30:9:37:44,,30:9:38:44,,
short,ALGOUSDT,30:9:37:45,,30:9:38:45,,
short,MASKUSDT,30:9:37:47,,30:9:38:47,,
short,CTSIUSDT,30:9:37:49,,30:9:38:49,,
short,BNBUSDC,30:9:37:55,,30:9:38:55,,
long,YGGUSDT,30:9:38:4,,30:9:39:4,,
short,LPTUSDT,30:9:38:6,,30:9:39:6,,
short,MDTUSDT,30:9:38:17,,30:9:39:17,,
long,JASMYUSDT,30:9:38:31,,30:9:39:31,,
short,STPTUSDT,30:9:38:35,,30:9:39:35,,
short,BADGERUSDT,30:9:38:50,,30:9:39:50,,
short,FRONTUSDT,30:9:39:5,,30:9:40:5,,
short,ANTUSDT,30:9:39:21,,30:9:40:21,,
short,OMGUSDT,30:9:39:53,,30:9:40:53,,
short,BNBUSDT,30:9:39:57,,30:9:40:57,,
long,SUIUSDT,30:9:40:1,,30:9:41:1,,
long,STRAXUSDT,30:9:40:37,,30:9:41:37,,
short,ENJUSDT,30:9:40:54,,30:9:41:54,,
short,UNFIUSDT,30:9:41:10,,30:9:42:10,,
long,NFPUSDT,30:9:41:17,,30:9:42:17,,
short,BANDUSDT,30:9:41:27,,30:9:42:27,,
long,XVSUSDT,30:9:41:28,,30:9:42:28,,
long,OCEANUSDT,30:9:41:40,,30:9:42:40,,
short,MATICUSDT,30:9:42:12,,30:9:43:12,,
short,CVXUSDT,30:9:42:13,,30:9:43:13,,
short,RUNEUSDT,30:9:42:15,,30:9:43:15,,
short,GLMRUSDT,30:9:42:49,,30:9:43:49,,
long,MANTAUSDT,30:9:42:55,,30:9:43:55,,
long,NEOUSDT,30:9:43:5,,30:9:44:5,,
short,SLPUSDT,30:9:43:9,,30:9:44:9,,
long,THETAUSDT,30:9:43:11,,30:9:44:11,,
short,LEVERUSDT,30:9:43:38,,30:9:44:38,,
long,LINKUSDT,30:9:44:5,,30:9:45:5,,
long,XEMUSDT,30:9:44:31,,30:9:45:31,,
long,FLMUSDT,30:9:44:33,,30:9:45:33,,
long,AMBUSDT,30:9:44:39,,30:9:45:39,,
long,SEIUSDT,30:9:44:41,,30:9:45:41,,
long,AVAXUSDT,30:9:44:44,,30:9:45:45,,
long,ALTUSDT,30:9:44:57,,30:9:45:57,,
long,WAVESUSDT,30:9:45:8,,30:9:46:8,,
long,USTCUSDT,30:9:45:11,,30:9:46:11,,
long,UNFIUSDT,30:9:45:19,,30:9:46:19,,
long,AGIXUSDT,30:9:45:21,,30:9:46:21,,
long,BICOUSDT,30:9:45:58,,30:9:46:58,,
short,MKRUSDT,30:9:46:46,,30:9:47:47,,
short,ARPAUSDT,30:9:46:57,,30:9:47:57,,
short,FTTUSDT,30:9:47:37,,30:9:48:37,,
short,USDCUSDT,30:9:48:18,,30:9:49:18,,
long,NMRUSDT,30:9:48:56,,30:9:49:56,,
long,ENSUSDT,30:9:49:2,,30:9:50:2,,
long,SOLUSDC,30:9:49:49,,30:9:50:50,,
long,RIFUSDT,30:9:49:53,,30:9:50:53,,
short,ORDIUSDT,30:9:49:56,,30:9:50:56,,
long,ARBUSDT,30:9:50:38,,30:9:51:38,,
long,APEUSDT,30:9:50:46,,30:9:51:46,,
long,ATOMUSDT,30:9:50:52,,30:9:51:52,,
long,SXPUSDT,30:9:51:52,,30:9:52:52,,
long,ZILUSDT,30:9:52:13,,30:9:53:13,,
short,FXSUSDT,30:9:52:14,,30:9:53:14,,
long,PERPUSDT,30:9:53:19,,30:9:54:19,,
long,SOLUSDT,30:9:53:26,,30:9:54:26,,
long,BANDUSDT,30:9:53:33,,30:9:54:33,,
long,AIUSDT,30:9:54:1,,30:9:55:1,,
short,FETUSDT,30:9:54:31,,30:9:55:31,,
long,MAVUSDT,30:9:55:13,,30:9:56:13,,
long,WLDUSDT,30:9:55:43,,30:9:56:43,,
long,TUSDT,30:9:56:12,,30:9:57:12,,
long,AGLDUSDT,30:9:56:18,,30:9:57:18,,
long,CHRUSDT,30:9:56:41,,30:9:57:41,,
short,ILVUSDT,30:9:57:36,,30:9:58:36,,
short,MANTAUSDT,30:9:59:5,,30:10:00:5,,
short,CVCUSDT,30:9:59:11,,30:10:00:11,,
